Entity Name,Status,Filename,Source
Belmont-Redwood Shores School District,Success,Belmont-Redwood_Shores_School_District_Report.pdf,FAC
Berkeley Housing Authority,Success,Berkeley_Housing_Authority_Report.pdf,FAC
Berkeley Unified School District,Success,Berkeley_Unified_School_District_Report.pdf,FAC
BERRYESSA UNION SCHOOL DISTRICT,Success,BERRYESSA_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
Beverly Hills Unified School District,Success,Beverly_Hills_Unified_School_District_Report.pdf,FAC
BIG PINE UNIFIED SCHOOL DISTRICT,Success,BIG_PINE_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
BLACK BUTTE UNION ELEMENTARY SCHOOL DISTRICT,Success,BLACK_BUTTE_UNION_ELEMENTARY_SCHOOL_DISTRICT_Report.pdf,FAC
BONITA UNIFIED SCHOOL DISTRICT,Success,BONITA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Bonsall Unified School District,Success,Bonsall_Unified_School_District_Report.pdf,FAC
Borrego Springs Unified School District,Success,Borrego_Springs_Unified_School_District_Report.pdf,FAC
Brawley Elementary School District,Success,Brawley_Elementary_School_District_Report.pdf,FAC
Brawley Union High School District,Success,Brawley_Union_High_School_District_Report.pdf,FAC
Brentwood Union School District,Success,Brentwood_Union_School_District_Report.pdf,FAC
Bret Harte Union High School District,Success,Bret_Harte_Union_High_School_District_Report.pdf,FAC
Briggs Elementary School District,Success,Briggs_Elementary_School_District_Report.pdf,FAC
BUCKEYE UNION SCHOOL DISTRICT,Success,BUCKEYE_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
BUELLTON UNION SCHOOL DISTRICT,Success,BUELLTON_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
Buena Park School District,Success,Buena_Park_School_District_Report.pdf,FAC
BURBANK-GLENDALE-PASADENA AIRPORT AUTHORITY,Success,BURBANK-GLENDALE-PASADENA_AIRPORT_AUTHORITY_Report.pdf,FAC
Burlingame School District,Success,Burlingame_School_District_Report.pdf,FAC
Burton School District,Success,Burton_School_District_Report.pdf,FAC
Butte-Glenn Community College District,Success,Butte-Glenn_Community_College_District_Report.pdf,FAC
Byron Union School District,Success,Byron_Union_School_District_Report.pdf,FAC
Cabrillo United School District,Success,Cabrillo_United_School_District_Report.pdf,FAC
Cajon Valley Union School District,Success,Cajon_Valley_Union_School_District_Report.pdf,FAC
Calaveras County Water District,Success,Calaveras_County_Water_District_Report.pdf,FAC
Calaveras Unified School District,Success,Calaveras_Unified_School_District_Report.pdf,FAC
CALEXICO UNIFIED SCHOOL DISTRICT,Success,CALEXICO_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
"California Affordable Housing Initiatives, Inc.",Success,California_Affordable_Housing_Initiatives_Inc._Report.pdf,FAC
CALIFORNIA EARTHQUAKE AUTHORITY,Success,CALIFORNIA_EARTHQUAKE_AUTHORITY_Report.pdf,FAC
California Housing Finance Agency,Success,California_Housing_Finance_Agency_Report.pdf,FAC
California Table Grape Commission,Success,California_Table_Grape_Commission_Report.pdf,FAC
CALIPATRIA UNIFIED SCHOOL DISTRICT,Success,CALIPATRIA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Calistoga Joint Unified School District,Success,Calistoga_Joint_Unified_School_District_Report.pdf,FAC
Cambrian School District,Success,Cambrian_School_District_Report.pdf,FAC
Camino Union Elementary School District,Success,Camino_Union_Elementary_School_District_Report.pdf,FAC
Campbell Union High School District,Success,Campbell_Union_High_School_District_Report.pdf,FAC
Campbell Union School District,Success,Campbell_Union_School_District_Report.pdf,FAC
CAPISTRANO UNIFIED SCHOOL DISTRICT,Success,CAPISTRANO_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Carlsbad unified School district,Success,Carlsbad_unified_School_district_Report.pdf,FAC
Carmel Unified School District,Success,Carmel_Unified_School_District_Report.pdf,FAC
Carpinteria Unified School District,Success,Carpinteria_Unified_School_District_Report.pdf,FAC
Cascade Union Elementary School District,Success,Cascade_Union_Elementary_School_District_Report.pdf,FAC
CASTAIC UNION SCHOOL DISTRICT,Success,CASTAIC_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
CASTRO VALLEY UNIFIED SCHOOL DISTRICT,Success,CASTRO_VALLEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Center Joint Unified School District,Success,Center_Joint_Unified_School_District_Report.pdf,FAC
Central California Irrigation District,Success,Central_California_Irrigation_District_Report.pdf,FAC
Central Contra Costa Transit Authority,Success,Central_Contra_Costa_Transit_Authority_Report.pdf,FAC
CENTRAL SCHOOL DISTRICT,Success,CENTRAL_SCHOOL_DISTRICT_Report.pdf,FAC
Central Union High School District,Success,Central_Union_High_School_District_Report.pdf,FAC
Central Union School District,Success,Central_Union_School_District_Report.pdf,FAC
CENTRALIA SCHOOL DISTRICT,Success,CENTRALIA_SCHOOL_DISTRICT_Report.pdf,FAC
Ceres Unified School District,Success,Ceres_Unified_School_District_Report.pdf,FAC
CHAFFEY JOINT UNION HIGH SCHOOL DISTRICT,Success,CHAFFEY_JOINT_UNION_HIGH_SCHOOL_DISTRICT_Report.pdf,FAC
Charter Oak Unified School District,Success,Charter_Oak_Unified_School_District_Report.pdf,FAC
Chatom Union Elementary School District,Success,Chatom_Union_Elementary_School_District_Report.pdf,FAC
Chawanakee Unified School District,Success,Chawanakee_Unified_School_District_Report.pdf,FAC
Chico Unified School District,Success,Chico_Unified_School_District_Report.pdf,FAC
CHINO VALLEY UNIFIED SCHOOL DISTRICT,Success,CHINO_VALLEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Chowchilla Elementary School District,Success,Chowchilla_Elementary_School_District_Report.pdf,FAC
Chowchilla Union High School District,Success,Chowchilla_Union_High_School_District_Report.pdf,FAC
Chualar Union School District,Success,Chualar_Union_School_District_Report.pdf,FAC
Chula Vista Elementary School District,Success,Chula_Vista_Elementary_School_District_Report.pdf,FAC
CLAREMONT UNIFIED SCHOOL DISTRICT,Success,CLAREMONT_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Cloverdale Unified School District,Success,Cloverdale_Unified_School_District_Report.pdf,FAC
Clovis Unified School District,Success,Clovis_Unified_School_District_Report.pdf,FAC
Coachella Valley Unified School District,Success,Coachella_Valley_Unified_School_District_Report.pdf,FAC
Coachella Valley Water District,Success,Coachella_Valley_Water_District_Report.pdf,FAC
Coast Unified School District,Success,Coast_Unified_School_District_Report.pdf,FAC
College of the Sequoias Community College District,Success,College_of_the_Sequoias_Community_College_District_Report.pdf,FAC
COLTON JOINT UNIFIED SCHOOL DISTRICT,Success,COLTON_JOINT_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Columbia Elementary School District,Success,Columbia_Elementary_School_District_Report.pdf,FAC
COLUMBIA UNION SCHOOL DISTRICT,Success,COLUMBIA_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
Community Development Commission of Mendocino County,Success,Community_Development_Commission_of_Mendocino_County_Report.pdf,FAC
Compton Unified School District,Success,Compton_Unified_School_District_Report.pdf,FAC
CONEJO VALLEY UNIFIED SCHOOL DISTRICT,Success,CONEJO_VALLEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
CONTRA COSTA TRANSPORTATION AUTHORITY,Success,CONTRA_COSTA_TRANSPORTATION_AUTHORITY_Report.pdf,FAC
CONTRA COSTA WATER DISTRICT,Success,CONTRA_COSTA_WATER_DISTRICT_Report.pdf,FAC
COOS-CURRY HOUSING AUTHORITY,Success,COOS-CURRY_HOUSING_AUTHORITY_Report.pdf,FAC
Copper Mountain Community College District,Success,Copper_Mountain_Community_College_District_Report.pdf,FAC
Corcoran Unified School District,Success,Corcoran_Unified_School_District_Report.pdf,FAC
Corning Union Elementary School District,Success,Corning_Union_Elementary_School_District_Report.pdf,FAC
Corning Union High School District,Success,Corning_Union_High_School_District_Report.pdf,FAC
CORONADO UNIFIED SCHOOL DISTRICT,Success,CORONADO_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Corona-Norco Unified School District,Success,Corona-Norco_Unified_School_District_Report.pdf,FAC
COSUMNES COMMUNITY SERVICES DISTRICT,Success,COSUMNES_COMMUNITY_SERVICES_DISTRICT_Report.pdf,FAC
Cotati-Rohnert Park Unified School District,Success,Cotati-Rohnert_Park_Unified_School_District_Report.pdf,FAC
Cottonwood Union Elementary School District,Success,Cottonwood_Union_Elementary_School_District_Report.pdf,FAC
Covina-Valley Unified School District,Success,Covina-Valley_Unified_School_District_Report.pdf,FAC
CUCAMONGA SCHOOL DISTRICT,Success,CUCAMONGA_SCHOOL_DISTRICT_Report.pdf,FAC
CULVER CITY UNIFIED SCHOOL DISTRICT,Success,CULVER_CITY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Cupertino Union School District,Success,Cupertino_Union_School_District_Report.pdf,FAC
CURTIS CREEK ELEMENTARY SCHOOL DISTRICT,Success,CURTIS_CREEK_ELEMENTARY_SCHOOL_DISTRICT_Report.pdf,FAC
Cutler-Orosi Joint Unified School District,Success,Cutler-Orosi_Joint_Unified_School_District_Report.pdf,FAC
CYPRESS SCHOOL DISTRICT,Success,CYPRESS_SCHOOL_DISTRICT_Report.pdf,FAC
DAVIS JOINT UNIFIED SCHOOL DISTRICT,Success,DAVIS_JOINT_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Del Mar Union School District,Success,Del_Mar_Union_School_District_Report.pdf,FAC
Del Puerto Health Care District,Success,Del_Puerto_Health_Care_District_Report.pdf,FAC
Del Puerto Water District,Success,Del_Puerto_Water_District_Report.pdf,FAC
Delano Joint Union High School District,Success,Delano_Joint_Union_High_School_District_Report.pdf,FAC
DELANO UNION SCHOOL DISTRICT,Success,DELANO_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
Delano-Earlimart Irrigation District,Success,Delano-Earlimart_Irrigation_District_Report.pdf,FAC
Delhi Unified School District,Success,Delhi_Unified_School_District_Report.pdf,FAC
Denair Unified School District,Success,Denair_Unified_School_District_Report.pdf,FAC
DESERT SANDS UNIFIED SCHOOL DISTRICT,Success,DESERT_SANDS_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Dinuba Unified School District,Success,Dinuba_Unified_School_District_Report.pdf,FAC
Dixon Unified School District,Success,Dixon_Unified_School_District_Report.pdf,FAC
Dos Palos Oro-Loma Joint Unified School District,Success,Dos_Palos_Oro-Loma_Joint_Unified_School_District_Report.pdf,FAC
Douglas County School District No. 4,Success,Douglas_County_School_District_No._4_Report.pdf,FAC
DOWNEY UNIFIED SCHOOL DISTRICT,Success,DOWNEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Dry Creek Joint Elementary School District,Success,Dry_Creek_Joint_Elementary_School_District_Report.pdf,FAC
Duarte Unified School District,Success,Duarte_Unified_School_District_Report.pdf,FAC
DUBLIN UNIFIED SCHOOL DISTRICT,Success,DUBLIN_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Durham Unified School District,Success,Durham_Unified_School_District_Report.pdf,FAC
Earlimart School District,Success,Earlimart_School_District_Report.pdf,FAC
East Bay Municipal Utility District,Success,East_Bay_Municipal_Utility_District_Report.pdf,FAC
East County Advanced Water Purification JPA,Success,East_County_Advanced_Water_Purification_JPA_Report.pdf,FAC
EAST SIDE UNION HIGH SCHOOL DISTRICT,Success,EAST_SIDE_UNION_HIGH_SCHOOL_DISTRICT_Report.pdf,FAC
East Whittier City School District,Success,East_Whittier_City_School_District_Report.pdf,FAC
Eastern Contra Costa Transit Authority,Success,Eastern_Contra_Costa_Transit_Authority_Report.pdf,FAC
Eastern Municipal Water District,Success,Eastern_Municipal_Water_District_Report.pdf,FAC
Eastern Sierra Transit Authority,Success,Eastern_Sierra_Transit_Authority_Report.pdf,FAC
EASTERN SIERRA UNIFIED SCHOOL DISTRICT,Success,EASTERN_SIERRA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Eastside Union School District,Success,Eastside_Union_School_District_Report.pdf,FAC
EL CENTRO ELEMENTARY SCHOOL DISTRICT,Success,EL_CENTRO_ELEMENTARY_SCHOOL_DISTRICT_Report.pdf,FAC
EL DORADO COUNTY TRANSIT AUTHORITY,Success,EL_DORADO_COUNTY_TRANSIT_AUTHORITY_Report.pdf,FAC
El Dorado Union High School District,Success,El_Dorado_Union_High_School_District_Report.pdf,FAC
EL MONTE CITY SCHOOL DISTRICT,Success,EL_MONTE_CITY_SCHOOL_DISTRICT_Report.pdf,FAC
El Monte Union High School District,Success,El_Monte_Union_High_School_District_Report.pdf,FAC
El Rancho Unified School District,Success,El_Rancho_Unified_School_District_Report.pdf,FAC
El Segundo Unified School District,Success,El_Segundo_Unified_School_District_Report.pdf,FAC
Elk Grove Unified School District,Success,Elk_Grove_Unified_School_District_Report.pdf,FAC
ELSINORE VALLEY MUNICIPAL WATER AGENCY,Success,ELSINORE_VALLEY_MUNICIPAL_WATER_AGENCY_Report.pdf,FAC
Emery Unified School District,Success,Emery_Unified_School_District_Report.pdf,FAC
Empire Union School District,Success,Empire_Union_School_District_Report.pdf,FAC
Encinitas Union Elementary School District,Success,Encinitas_Union_Elementary_School_District_Report.pdf,FAC
Enterprise Elementary School District,Success,Enterprise_Elementary_School_District_Report.pdf,FAC
Escalon Unified School District,Success,Escalon_Unified_School_District_Report.pdf,FAC
Escondido Union High School District,Success,Escondido_Union_High_School_District_Report.pdf,FAC
ESCONDIDO UNION SCHOOL DISTRICT,Success,ESCONDIDO_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
ETIWANDA SCHOOL DISTRICT,Success,ETIWANDA_SCHOOL_DISTRICT_Report.pdf,FAC
Evergreen Elementary School District,Success,Evergreen_Elementary_School_District_Report.pdf,FAC
Evergreen Union Elementary School District,Success,Evergreen_Union_Elementary_School_District_Report.pdf,FAC
Exeter Unified School District,Success,Exeter_Unified_School_District_Report.pdf,FAC
Fairfield-Suisun Unified School District,Success,Fairfield-Suisun_Unified_School_District_Report.pdf,FAC
Fall River Joint Unified School District,Success,Fall_River_Joint_Unified_School_District_Report.pdf,FAC
FALLBROOK UNION ELEMENTARY SCHOOL DISTRICT,Success,FALLBROOK_UNION_ELEMENTARY_SCHOOL_DISTRICT_Report.pdf,FAC
Fallbrook Union High School District,Success,Fallbrook_Union_High_School_District_Report.pdf,FAC
Feather River Community College District,Success,Feather_River_Community_College_District_Report.pdf,FAC
Feather River Resource Conservation District,Success,Feather_River_Resource_Conservation_District_Report.pdf,FAC
First 5 Sonoma County Commission,Success,First_5_Sonoma_County_Commission_Report.pdf,FAC
FIRST 5 YOLO CHILDREN AND FAMILIES COMMISSION,Success,FIRST_5_YOLO_CHILDREN_AND_FAMILIES_COMMISSION_Report.pdf,FAC
Flood Control & Water Conservation District,Success,Flood_Control_&_Water_Conservation_District_Report.pdf,FAC
FOLSOM CORDOVA UNIFIED SCHOOL DISTRICT,Success,FOLSOM_CORDOVA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
FONTANA UNIFIED SCHOOL DISTRICT,Success,FONTANA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Foothill Transit,Success,Foothill_Transit_Report.pdf,FAC
Fort Bragg Unified School District,Success,Fort_Bragg_Unified_School_District_Report.pdf,FAC
Fortuna Elementary School District,Success,Fortuna_Elementary_School_District_Report.pdf,FAC
FOUNTAIN VALLEY SCHOOL DISTRICT,Success,FOUNTAIN_VALLEY_SCHOOL_DISTRICT_Report.pdf,FAC
Fowler Unified School District,Success,Fowler_Unified_School_District_Report.pdf,FAC
Franklin-McKinley School District,Success,Franklin-McKinley_School_District_Report.pdf,FAC
Fremont Unified School District,Success,Fremont_Unified_School_District_Report.pdf,FAC
FREMONT UNION HIGH SCHOOL DISTRICT,Success,FREMONT_UNION_HIGH_SCHOOL_DISTRICT_Report.pdf,FAC
Fresno County Rural Transit Agency,Success,Fresno_County_Rural_Transit_Agency_Report.pdf,FAC
Fresno Madera Area Agency On Aging,Success,Fresno_Madera_Area_Agency_On_Aging_Report.pdf,FAC
Fresno Unified School District,Success,Fresno_Unified_School_District_Report.pdf,FAC
Fullerton Joint Union High School District,Success,Fullerton_Joint_Union_High_School_District_Report.pdf,FAC
FULLERTON SCHOOL DISTRICT,Success,FULLERTON_SCHOOL_DISTRICT_Report.pdf,FAC
Galt Joint Union Elementary School District,Success,Galt_Joint_Union_Elementary_School_District_Report.pdf,FAC
Galt Joint Union High School District,Success,Galt_Joint_Union_High_School_District_Report.pdf,FAC
Garden Grove Unified School District,Success,Garden_Grove_Unified_School_District_Report.pdf,FAC
GARVEY SCHOOL DISTRICT,Success,GARVEY_SCHOOL_DISTRICT_Report.pdf,FAC
Gateway Unified School District,Success,Gateway_Unified_School_District_Report.pdf,FAC
Gerber Union Elementary School District,Success,Gerber_Union_Elementary_School_District_Report.pdf,FAC
Glendale School District #77,Success,Glendale_School_District_#77_Report.pdf,FAC
Glendale Unified School District,Success,Glendale_Unified_School_District_Report.pdf,FAC
Glendora Unified School District,Success,Glendora_Unified_School_District_Report.pdf,FAC
Glenn-Colusa Irrigation District,Success,Glenn-Colusa_Irrigation_District_Report.pdf,FAC
Gold Coast Transit District,Success,Gold_Coast_Transit_District_Report.pdf,FAC
Gold Oak Union Elementary School District,Success,Gold_Oak_Union_Elementary_School_District_Report.pdf,FAC
GOLD RIDGE RESOURCE CONSERVATION DISTRICT,Success,GOLD_RIDGE_RESOURCE_CONSERVATION_DISTRICT_Report.pdf,FAC
GOLDEN EMPIRE TRANSIT DISTRICT,Success,GOLDEN_EMPIRE_TRANSIT_DISTRICT_Report.pdf,FAC
"Golden Gate Bridge, Highway & Transportation District",Success,Golden_Gate_Bridge_Highway_&_Transportation_District_Report.pdf,FAC
Golden Sierra Job Training Agency,Success,Golden_Sierra_Job_Training_Agency_Report.pdf,FAC
Golden State Finance Authority,Success,Golden_State_Finance_Authority_Report.pdf,FAC
Golden Valley Unified School District,Success,Golden_Valley_Unified_School_District_Report.pdf,FAC
GOLETA UNION SCHOOL DISTRICT,Success,GOLETA_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
GOLETA WATER DISTRICT,Success,GOLETA_WATER_DISTRICT_Report.pdf,FAC
Gonzales Unified School District,Success,Gonzales_Unified_School_District_Report.pdf,FAC
Grass Valley Elementary School District,Success,Grass_Valley_Elementary_School_District_Report.pdf,FAC
Greenfield Union School District,Success,Greenfield_Union_School_District_Report.pdf,FAC
GRIDLEY UNIFIED SCHOOL DISTRICT,Success,GRIDLEY_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Grossmont Union High School District,Success,Grossmont_Union_High_School_District_Report.pdf,FAC
Grossmont-Cuyamaca Community College District,Success,Grossmont-Cuyamaca_Community_College_District_Report.pdf,FAC
Groundwater Banking Joint Powers Authority,Success,Groundwater_Banking_Joint_Powers_Authority_Report.pdf,FAC
GUADALUPE UNION SCHOOL DISTRICT,Success,GUADALUPE_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
Gustine Unified School District,Success,Gustine_Unified_School_District_Report.pdf,FAC
Hacienda La Puente Unified School District,Success,Hacienda_La_Puente_Unified_School_District_Report.pdf,FAC
Hamilton Unified School District,Success,Hamilton_Unified_School_District_Report.pdf,FAC
Hanford Elementary School District,Success,Hanford_Elementary_School_District_Report.pdf,FAC
Hanford Joint Union High School District,Success,Hanford_Joint_Union_High_School_District_Report.pdf,FAC
Happy Camp Community Services District,Success,Happy_Camp_Community_Services_District_Report.pdf,FAC
Happy Valley Union Elementary School District,Success,Happy_Valley_Union_Elementary_School_District_Report.pdf,FAC
Hartnell Community College District,Success,Hartnell_Community_College_District_Report.pdf,FAC
HART-RANSOM UNION SCHOOL DISTRICT,Success,HART-RANSOM_UNION_SCHOOL_DISTRICT_Report.pdf,FAC
HAWTHORNE SCHOOL DISTRICT,Success,HAWTHORNE_SCHOOL_DISTRICT_Report.pdf,FAC
Hayward unified School District,Success,Hayward_unified_School_District_Report.pdf,FAC
Healdsburg Unified School District,Success,Healdsburg_Unified_School_District_Report.pdf,FAC
Heber Elementary School District,Success,Heber_Elementary_School_District_Report.pdf,FAC
Helendale School District,Success,Helendale_School_District_Report.pdf,FAC
HEMET UNIFIED SCHOOL DISTRICT,Success,HEMET_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
HESPERIA UNIFIED SCHOOL DISTRICT,Success,HESPERIA_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
HI-DESERT MEMORIAL HEALTHCARE DISTRICT,Success,HI-DESERT_MEMORIAL_HEALTHCARE_DISTRICT_Report.pdf,FAC
Hi-Desert Water District,Success,Hi-Desert_Water_District_Report.pdf,FAC
Hilmar Unified School District,Success,Hilmar_Unified_School_District_Report.pdf,FAC
Hollister School District,Success,Hollister_School_District_Report.pdf,FAC
HOLTVILLE UNIFIED SCHOOL DISTRICT,Success,HOLTVILLE_UNIFIED_SCHOOL_DISTRICT_Report.pdf,FAC
Honey Lake Valley Resource Conservation District,Success,Honey_Lake_Valley_Resource_Conservation_District_Report.pdf,FAC
HOUSING AUTHORITY OF FRESNO COUNTY,Success,HOUSING_AUTHORITY_OF_FRESNO_COUNTY_Report.pdf,FAC
Housing Authority of the City and County of San Francisco,Success,Housing_Authority_of_the_City_and_County_of_San_Francisco_Report.pdf,FAC
Housing Authority of the City of Alameda,Success,Housing_Authority_of_the_City_of_Alameda_Report.pdf,FAC
Housing Authority of the City of Calexico,Success,Housing_Authority_of_the_City_of_Calexico_Report.pdf,FAC
Housing Authority of the City of Eureka,Success,Housing_Authority_of_the_City_of_Eureka_Report.pdf,FAC
HOUSING AUTHORITY OF THE CITY OF FRESNO,Success,HOUSING_AUTHORITY_OF_THE_CITY_OF_FRESNO_Report.pdf,FAC
